mname
Spiderverse 2
Avatar 2
Batman
Pieces of woman
Sound of metal
The father
Minari
News of the world
Don't look up
Dig
Judas and the black messiah
Run
Paava Kadhaigal
Never rarely sometimes always
First man
Trial of Chicago 7
Greyhound
Lodge
Just mercy
6 Balloons
Mank
Father
Ka Pae ranasingam
The god committee
Karnan
Slalom
Blackbear
Sherni
The last Duel
The Green Knight
House of Gucci
The Last duel
Spencer
Munich the edge of war
The French Dispatch
Soorarai Pottru
King richard
Hridayam
Tinder swindler
Bachelor
The Kashmir files
Kadaisi Vivasayi
Worst person in the world
Sputnik
Tenet
The Vast of the Night
The platform
Synchronic
The endless
Anything for jackson
The dark and the wicked
Host
Possessor
His house
The Call
The wailing
Alive
Saint Maud
1BR
The Rental
Cam
Ruin me
My heart can't beat unless you tell it to
Censor
Gaia
A Quiet place 
Fear street 
The empty man
Till Death
Nightbooks
Candyman
Malignant
The night house
Lamb
Antlers
X
The Black phone
On the rocks
Come to Daddy
Emma
Bad Education
Bill and Ted Face the music
Red rocket
Buffaloed
Freaky
Another round
Palm Springs
Licorice pizza
The old Guard
Boss Level
Nobody
Riders of Justice
No time to die
Shang-Chi and the legend of the ten rings
Spider-Man: No Way Home
Wolfwalkers
Soul
klauss
The magnificent cake
Weathering with you
Croods 2
Raya and the last dragon
Wolfwalkers
Turning Red
Encanted
Da 5 bloods
Enola Holmes
Hunter Hunter
Wolf of Snow hollow
Killers of the flower moon
Alone
Devil all the time
I'm thinking of ending things
Promising young woman
I care a lot
The White tiger
The clovehitch killer
Apostle
Death on the Nile
Raat Akeli Hai
Let him go
The courier
The nest
Good time
I am your woman
OLD
Cruella
Till Death
Oxygen
No sudden move
Pig
Kaanekkaane
The Card counter
Many saints of newark
love hostel
Fresh
Nope
Vice
The Big short
Doubt
The fighter
Joy
Theory of everything
Saving Mr. Banks
Handmaiden
True grit
Tully
Perks of being a wallflower
Lady Macbeth
Upstream color
First reformed
Manchester by the sea
Moneyball
Ludo
Visaranai
Midnight in paris
Roma
Sully
Jolly LLB 2
Swallow
Edge of seventeen
Rush
The post
Robert Frost
Kumbalangi Nights
Pannaiyarum Padminiyum
Peanut Butter falcon
Flight
The wife
Ides of march
The founder
Tree of life
Roma
Silence
A ghost story
Ain't them bodies saints
Hacksaw ridge
Pawn Sacrifice
The hunt
A private war
the destroyer
Can you ever forgive me
Attack the block
Super 8
Mr. Nobody
The hole in the ground
Hagazussa
The Blackcoat's Daughter
The ritual
Demonte Colony
Resolution
I see you
Antlers
Let me in
Extra ordinary
The other guys
The edge of seventeen
Colossal
Mr Roosevelt
Long Shot
Spy
Yes god Yes
Crazy rich Asians
In a world
Logan Lucky
The big sick
Newton
Vicky donor
the holiday
Cafe Society
An education
The spectacular now
Tron Legacy
Anomalisa
Master and Commander far side and of the world
Lost City of Z
Raman Raghav 2.0
Blood on her name
A good woman is hard to find
Rukh
documentary Homes
Green room
Conspiracy of faith
The absent one
The guilty
Keeper of lost causes
The Hunt 20adventure
The commune
Invisible guest
Wild tales
The skin I live in
Hidden face
Sleep tight
The body
Julia's eyes
May god save us
El reino
At the end of the tunnel
You were never really here
A most violent year
Beast
Miss Sloane
Sicario
Phoenix
End of watch
Nancy Please
Hurt locker
Buried
Hush
Calibre
Varathan
Neram
Without
Old man and the gun
The widows
Managaram
Udta punjab
Revolutionary road
Dil Chahta hai
Munich
Requiem for a dream
A Beautiful Mind
Crash
Charlie Wilson's war
Atonement
Thevar magan
The pianist
Bridge to Terabithia
Primer
Moon
The orphanage
Blair Witch Project
Let the right one in
Ferris Bueller's Day off
Adventureland
Pan's Labyrinth
Secret in their eyes
The lives of others
timecrimes
Memories of a murder
Dogtooth
Burn after reading
Sunshine
Brick
21 Grams
Wicker man
3:10 to Yuma
State of play
Syriana
Assassination of Jesse James
Gone baby gone
Red Dragon
Schindler's list
A little Princess
All the president's men
Three faces of eve
Being John malkovic
Tru Grit
The Big lebowski
Deadwood
First Reformed
Boyhood
Fantastic Mr fox
American Psycho
Moonrise Kingdom
A few good men
The Post
Apocalypse Now
Saving Private Ryan
Little miss sunshine
Adaptation
Lives of others
The good the bad and the ugly
The aviator
Before sunset
Before sunrise
Before midnight
Super 8
Primal Fear
what we do in the shadows
Pan's Labyrinth
The Terminal
Bridge of Spies
The green mile
Fracture
Don't breathe
The insider
A time to kill
Boogie Nights
Magnolia
Punch Drunk Love
Inherent Vice
Hard Eight
Capote
The Italian job
A most violent year
25th hour
bernie
beasts of the southern wild
lady macbeth
Spy
Rojo
Monos
Cloud atlas
About time
Bridge of spies
Kings speech
Bajirao Mastani
Padmavat
What we do in the shadows
Molly's game
Aranya kandam
Hey ram
Horrible bosses
Solaris
Crazy stupid love
Perks of being a wallflower
This is the end
The bling ring
Clue
Pather panchali
Aparajito
Apur sansar
Polytechnique
Maelstrom
Stanford prison experiment
Gangs of Wasseypur
Lagaan
Pokkiri
adventure years a slave
Portrait of a lady on fire
Downtown abbey
Super 30
10 cloverfield lane
Insomnia
memento
Hunger games mockinjay
adventure monkeys
Kadal
Kaatru Veliyidai
Iruvar
Agni Natchathiram
Dil se
Kannathil Muthamittai
Aaytha Ezhuthu
Thalapathi
Mouna Raagam
AlaiPayuthey
Guru
Bombay
Hereafter
Okja
anbe sivam
Les miserables
Mystery Road
Goldstone
Detective Bakshy
Lord of rings
The Hobbit
Harry Potter
Iron man 3
Eye in the sky
Forushande
Berberian sound studio
Utøya 22 July
22-Jul
Headhunters
About elly
Amores Perros
Black book
babel
Grave of the fireflies
Big fish
Pride and prejudice
A dangerous method
Love actually
closer
2001 Space Odyssey
Insidious
Gattaca
Back to Future Trilogy
action weeks later
